ID,Description,Entry_ID,Antonym,Bibliographical_Reference,Encyclopedic_Info,Etymology_Source,Infobox,Infobox_Teanu,Lexical_Function_Gloss,Literally,Media_IDs,Scientific_Name,Semantic_Domain,Sense_Comment,Synonym,Syntactic_Restriction,Typical_Subject
SN002551,"move, wander, travel",LX000486,,,,,,,,,,,,gen,,,
SN002552,"k.o. tree, unidentified",vinoe_1,,,,,,,,,,,Bot,,,,
SN002553,noisy,LX000487,LX000353,,,,,,,,,,,,,,
SN002554,hard shell of ‹animal+›,LX000488,,,,,,,,,,,,,,,
SN002555,"shell, husk of ‹nut+›",LX000488,,,,,,,,,,,,,,,
SN002556,hard shell used as a container; hence container,LX000488,,,,,,,,,,,,,,,
SN002557,empty,LX000489,LX000230,,,,,,,,,,,,,,
SN002558,"turtle shell, often cut into various ornaments",LX000490,,,,,,,,,,,,,,,
SN002559,"skull, cranium",LX000491,,,,,,,,head shell,,,Anat,,,,man+
SN002560,women: plural of [emele](emele_1) ‘woman’,LX000492,,,Morph.: Almost always preceded by plural clitic [da=](LX000079).,,,,,,,,,,,,
SN002561,"tell ‹s.o.› (about s.th., [ñe](LX000313))",LX000493,,,,,,,,,,,,,LX000477,,
SN002562,"say to ‹s.o.›, declare, ask: introduces reported speech",LX000493,,,,,,,,,,,,,,foll. by [~ko](LX000166),
SN002563,"stand, be standing somewhere",LX000494,,,,,,,,,,,,,,,s.o.
SN002564,"be positioned somewhere, espec. in an upright position",LX000494,,,,,,,,,,,,,,,s.th.
SN002565,"stand firmly, be stable or steady",LX000494,,,,,,,,,,,,,,,"s.o., s.th."
SN002566,stick out,LX000494,,,,,,,,,,,,,,,s.th.
SN002567,exist,LX000494,,,,,,,,,,,,,,,s.th.
SN002568,"(be, move) in a standing position",LX000495,,,,,,,,,,,,,,manner serialization,
SN002569,(move s.th.+) so it stands upright; hence erect ‹s.th.›,LX000495,,,,,,,,,,,,,,resultative serialization,
SN002570,"(take, move s.th.) so it ends up being located somewhere; hence put up ‹s.th.›",LX000495,,,,,,,,,,,,,,,
SN002571,belong to ‹s.o.›. Forms possessive predicates equivalent to Eng. ‘have’,LX000496,,,,,,,,stand with,,,,,LX000537,,
SN002572,"Hong-Kong taro, bush taro, hill taro",vioe_1,,,,,,,,,,Xanthosoma sagittifolium,Bot,,,,
SN002573,"Hong-Kong taro, bush taro, hill taro",vioe_die_1,,,,,,,,sucker of giant-taro,,Xanthosoma sagittifolium,Bot,,vioe_1,,
SN002574,sea foam,vioe_peini_revo_1,,,,,,,,taro of the sea,,,,,,,
SN002575,"giant taro, elephant-ear taro",vioe_talabao_1,,,,,,,,sucker of giant-taro,,Alocasia macrorrhiza,Bot,,,,
SN002576,charcoal left in the fireplace,viomoro_1,,,,,,,,,,,,,,,
SN002577,"behind, in the rear",viri_1,,,,,,,,,,,,,,,
SN002578,"later, afterwards",viri_1,,,,,,,,,,,,,,,
SN002579,lastborn,viri_2,makumoso_1,,,,,,,,,,Kin,,,,
SN002580,fan palm,viro_1,,,,,,,,,9bc874783ab613be26d65433dc55a6dd,Licuala spp,Bot,,,,
SN002581,coral reef; fringing reef,viro_2,,,,,,,,,,,,,,,
SN002582,knee,visibaele_1,,,,,,,,,,,Anat,,,,
SN002583,stones used in the traditional oven ([awene](awene_1)) for cooking and baking food,visiboko_1,,,,,,,,,f138e0411807961461b97e5380892797,,,,,,
SN002584,nose,visingele_1,,,,,,,,,,,Anat,,,,hum
SN002585,snout,visingele_1,,,,,,,,,,,,,,,animal
SN002586,"bow, a weapon used with arrows ([puro](puro_1), [diro](diro_1))",visone_1,,,,,,,,,4216b8082297ca75f6d91c31ece46b36,,,,,,
SN002587,"near, close (to, [teve](teve_1))",vitoko_1,,,,,,,,,,,,,,in space,
SN002588,soon; be about to,vitoko_1,,,,,,,,,,,,,,in time,
SN002589,"nearly, almost",vitoko_1,,,,,,,,,,,,fig,,,
SN002590,Pacific golden plover,vivi_1,,,,,,,,,,Pluvialis fulva,Ornith,,,,
SN002591,swamp taro,vivilo_1,,,,,,,,,,Cyrtosperma chamissonis,Bot,,,,
SN002592,"pound, beat ‹s.th.›, esp. with long and heavy stick",LX000497,,,,,,,,,,,,,,,
SN002593,"grind, crush ‹nuts+›",LX000497,,,,,,,,,,,,esp,,,
SN002594,"‘hit’, reach the limits of ‹a place›; hence fill ‹a place›, take up ‹room›",LX000498,,,,,,,,,,,,,,,
SN002595,grow large enough to reach the edge of the taro pit (mwa tanoe) in the garden; hence grow big,LX000499,,,,,,,,hit edge of pit›,,,,,,,taro
SN002596,"tie ‹s.th.›, fasten with rope",LX000500,,,,,,,,,,,,rare,LX000480 ; LX000319,,
SN002597,"put up, erect ‹s.th.›, with or without rope",LX000500,,,,,,,,,,,,,LX000474,,
SN002598,build ‹house›,LX000500,,,,,,,,,,,,esp,,,
SN002599,plant ‹banana›,LX000501,,,,,,,,,,,,,,,
SN002600,"think, believe (that, [~ko](LX000166))",LX000502,,,,,,,,,,,,,,,
SN002601,"hope (that, [~ko](LX000166))",LX000502,,,,,,,,,,,,,LX000172,,
SN002602,"remember ‹s.o., s.th.›",LX000502,LX000292,,,,,,,,,,,somet,,,
SN002603,"stone, of any size: boulder, rock, pebble",voko_1,,,,,,,,,,,,,,,
SN002604,"break, crush, destroy ‹s.th.›",LX000503,,,,,,,,,,,,,,,
SN002605,"tear, break ‹leaf, stem›; hence pick ‹fruit, plant›",LX000503,,,,,,,,,,,,,,,
SN002606,"crush ‹s.th.›, destroy, kill ‹s.o.›",LX000503,,,,,,,,,,,,,LX000040,,
SN002607,evening,vonila_1,,,,,,,,,,,,,,,
SN002608,"Vono or Lovono: a village on the north coast of Banie, together with its area",Vono_1,,,"This village is also known, in the literature, under the names Vanou or Whanou (Dillon). Its local name, in the language Lovono, is Vana.",,,,,,,,Geo,,Lovono_1,,
SN002609,a generic term referring to space,vono_1,,,,,,,,,,,,,temaka_1,,
SN002610,dry land (opp. sea); hence coast,vono_1,,,,,,,,,,,,,kulumoe_1,,
SN002611,"area, zone",vono_1,,,,,,,,,,,,rare,,,
SN002612,"district, limited area around a certain village",vono_1,,,,,,,,,,,,,,+placename,
SN002613,"the world, universe",vono_1,,,Neither [vono](vono_1) or [lovia vono](lovia_vono_1) are used as the normal word to designate the present world.,,,,,,,,,rare,,,
SN002614,"the universe, atmosphere, insofar as it is subject to the diurnal cycle",vono_1,,,The phrase von’ i-la ‘it is dusk’ (see [~la](LX000197)) is usually contracted to [vonila](vonila_1) ‘evening’.,,,,,,,,,freq,,subject of impersonal predicates,
SN002615,"the Reef islands, north of Temotu province",Vonovono_1,,,,,,,,,,,Geo,,,,
SN002616,cricket,vonukosi_1,,,,,,,,,,Orthoptera spp,Ins,,,,
SN002617,"eat, have a meal",LX000504,,,,,,,,,,,,,,,s.o.
SN002618,"be burning, burn; perish in fire",LX000504,,,,,,,,,,,,,,,s.th.
SN002619,"be jealous, feel jealousy (for, [ne](ne_1))",LX000504,,,Etym.: Possibly a metaphor from the previous sense ‘burn’.,,,,,,,,,,,,s.o.
SN002620,share a large meal; have a feast or celebration,LX000505,,,,,,,,eat big,,,,,,,group
SN002621,"canarium tree, canarium almond",vongoro_1,,,,,,,,,1abc8c7ac5042941b5b70e8ff1f30ca6,Canarium indicum,Bot,,,,
SN002622,Sea hibiscus,voro_1,,,,,,,,,5aa1af406608a4a999f0516fa3c725fe,Hibiscus tiliaceus,Bot,,,,
SN002623,variety with flowers of a light yellow colour,voro_beve_1,,,,,,,,white sea-hibiscus,,,,,,,
SN002624,variety with reddish flowers,voro_moloe_1,,,,,,,,red sea-hibiscus,,,,,,,
