ID,Language_ID,Headword,Part_Of_Speech,1st_Person_SG,3rd_Person_SG,Contains,Entry_IDs,Etymology,Heterosemes,Lovono_Equivalent,Main_Entry,Morphology,Orthographic_Variant,Paradigm_Form,Phonetic_Form,Reduplication_Form,Tanema_Equivalent,Variant_Form
bali_peini_telemoe_1,tkw,bali peini telemoe,noun,,,bali_1,,,,,,,,,,,,
bamele_1,tkw,bamele,noun,,,,,,,,,,,,ᵐbamele,,,
LX000058,tkw,bamele kiñekiñe,noun,,,bamele_1,,,,,,,,,,,,
Banie_1,tkw,Banie,proper noun,,,,,,Banie_2,,,,,,ᵐbanie,,,
Banie_2,tkw,Banie,toponym,,,,,,Banie_1,,,,,,ᵐbanie,,,
bara_1,tkw,bara,adverb,,,,,,,,bwara_1,,,,ᵐbara,,,
baro_1,tkw,baro,noun,,,,,,,,,,,,ᵐbaro,,,
oie_baro_1,tkw,oie baro,noun,,,baro_1,,,,,,,,,,,,
basa_1,tkw,basa,"noun, relational",,,,viabasa_1,POc: *ᵐbatu,,basa,,,,,ᵐbasa,,base,
basa_2,tkw,basa,noun,,,,gilita_1,,,,,,,,ᵐbasa,,,
basa_3,tkw,basa,noun,,,,,,,,,,,,ᵐbasa,,,
LX000059,tkw,~sava basa,verb-object idiom,,,basa_3,,,,,,,,,,,,
basa_pine_1,tkw,basa pine,noun,,,basa_3,,,,,,,,,,,,
basa_4,tkw,basa,adjective,,,,,,,basa,,,,,ᵐbasa,,basa,
basadigo_1,tkw,basadigo,noun,,,,nengele_moe_1,,,,,[basa](basa_1) ‘head’ + [digo](digo_1) ‘pillar’,,,ᵐbasaⁿdiᵑgo,,,
basakulumoe_1,tkw,basakulumoe,noun,,,,,,,basa kulamoe,,"[basa](basa_1) ‘head’ or [basa](basa_2) ‘mountain’ + [kulumoe](kulumoe_1) ‘village, country’",,,ᵐbasakulumoe,,basue (kulama),
basavono_1,tkw,basavono,noun,,,,basavono_wako_1,,,basa venelue,,,,,ᵐbasavono,,basue,
basavono_na_1,tkw,basavono na,locative,,,basavono_1,,,,,,[na](na_1),,,,,,
basavono_pe_1,tkw,basavono pe,subordinator,,,basavono_1,,,,,,,,,,,,basavono po
basavono_wako_1,tkw,basavono wako,noun,,,,,,,,,[basavono](basavono_1) + [wako](wako_1),,,ᵐbasavono wako,,,
baudo_1,tkw,baudo,noun,,,,,,,,,(?) [ba](ba_1) ‘stalk’ + [udo](udo_1) ‘banana’,,,ᵐbauⁿdo,,,
bauluko_1,tkw,bauluko,noun,,,,luro_1 ; uie_luro_1,,,,,,,,ᵐbauluko,,,
bauro_1,tkw,bauro,noun,,,,,,,,,,,,ᵐbauro,,,
bava_aele_1,tkw,bava aele,noun,,,,,,,,,[aele](aele_1) ‘leg’,,,ᵐbava aele,,,
bavede_1,tkw,bavede,noun,,,,kuo_1,,,,,,,,ᵐbaveⁿde,,amnala,
bavede_2,tkw,bavede,noun,,,,,,,,,Cf. [bavede](bavede_1) ‘sail’ (analogy of shape),,,ᵐbaveⁿde,,amnala,
bavolo_1,tkw,bavolo,noun,,,,,,,,,,,,ᵐbavolo,,,
bavolo_we_Tangalo_1,tkw,bavolo we Tangalo,noun,,,bavolo_1,,,,,,,,,,,,
be_1,tkw,be,particle,,,,,,,,,,,,ᵐbe,,,
iote_be_1,tkw,iote be,adjective,,,be_1,engaiote_1,,,,,,,,,,,
bea_1,tkw,bea,"noun, relational",,,,sa_1 ; tedele_1,,,lale,,,,,ᵐbea,,lebwe,
bebenuro_1,tkw,bebenuro,noun,,,,,,,,,,,,ᵐbeᵐbenuro,,,
